S4_num_br,S2_num_br,S5_num_br,S3_num_br,S6_num_br,S1_num_br,VacantPriority,Cost,RunoffVolume
0,0,0,0,0,0,0.0,0.0,34.89332700882351
100,99,0,94,100,100,59.59432048681541,2409655.574861164,18.90767574183973
100,97,0,98,100,100,60.08080808080808,2419431.0538666863,18.935825128478566
0,0,0,20,0,0,100.0,97754.79005521961,34.05747129665526
1,1,0,0,0,0,30.0,9775.479005521966,33.233298841588116
99,96,0,73,100,91,58.03921568627451,2243472.431767291,19.743116932680664
99,0,0,98,100,99,69.94949494949495,1935544.843093349,19.845286063422414
1,0,0,0,0,0,40.0,4887.739502760983,33.77935700748707
1,1,0,0,0,2,45.0,19550.95801104393,32.638230976103536
1,1,0,92,0,1,98.10526315789474,464335.2527622934,30.171043946037454
98,1,0,66,0,76,62.655601659751035,1177945.220165397,23.197322102965
1,1,0,44,0,0,96.95652173913044,224836.01712700518,31.071243918906365
1,0,0,62,0,0,99.04761904761905,307927.58867394173,31.515849637003186
1,1,0,0,0,3,48.0,24438.697513804913,32.49221872806769
90,0,0,95,99,92,70.58510638297872,1837790.0530381294,20.67540055698004
1,1,0,50,0,1,96.60377358490567,259050.19364633205,29.982987293604225
1,1,0,50,0,31,83.37349397590361,405682.3787291614,29.209000156340654
65,0,0,67,100,93,70.4,1588515.3383973192,21.926546079250507
98,96,0,89,99,93,59.45263157894737,2321676.2638114667,19.386055911349754
97,1,0,0,0,99,49.9492385786802,962884.6820439136,25.20438769019667
1,1,0,35,0,1,95.26315789473684,185734.10110491732,30.795327662800638
1,1,0,0,0,1,40.0,14663.21850828295,32.49905572927706
1,1,0,54,0,15,89.5774647887324,347029.5046960297,29.689687644774494
94,0,0,69,100,100,67.93388429752066,1774249.4395022364,20.3789509001329
100,97,0,67,99,100,57.365010799136066,2263023.3897783346,19.528694293603866
97,63,0,50,0,99,52.03883495145631,1510311.5063531436,22.205249138536555
2,1,0,95,0,44,86.19718309859155,694059.0093920595,28.266287781035885
26,0,0,62,100,93,74.09252669039147,1373454.800275836,23.522452739486486
100,96,0,98,99,98,60.122199592668025,2399880.095855642,19.221167622411855
2,1,0,24,0,3,89.33333333333333,146632.1850828295,31.416980486215856
99,96,0,73,100,100,58.07692307692308,2287462.0872921394,19.046903779179523
13,0,0,92,100,86,78.62542955326461,1422332.195303446,23.792098487024806
2,1,0,79,0,33,86.78260869565217,562090.0428175131,28.844259403143194
1,1,0,22,0,1,92.8,122193.48756902455,31.6916654825424
97,1,0,22,0,99,54.97716894977169,1070414.9511046554,24.440414812683617
4,0,0,74,100,77,79.13725490196079,1246373.5732040503,23.89281667351603
1,0,0,92,99,71,81.4448669201521,1285475.4892261382,24.220667802717724
97,1,0,67,99,95,67.46518105849582,1754698.4814911927,20.915659445839694
96,0,0,5,0,99,51.4,977547.9005521964,24.659989445049256
94,31,0,51,0,100,56.08695652173913,1349016.1027620311,22.8432711883479
1,1,0,64,0,24,87.77777777777777,439896.55524848844,29.41116772296652
62,1,0,75,100,82,71.625,1564076.6408835142,22.842072980599102
97,1,0,15,0,99,53.490566037735846,1036200.7745853284,24.52937083765707
1,0,0,3,0,0,85.0,19550.95801104393,33.480402410497476
0,0,0,0,0,2,60.0,9775.479005521966,34.460809906935054
94,0,0,72,0,10,65.68181818181819,860242.1524859329,25.858430702355783
